title,episodes,released_date,end_date,producer_id,rating,studio
Ansatsu Kyoushitsu (TV) 2nd Season,14,2001-10-13,2016-05-07,10,8.2,Imagin 
Haikyuu!!,OVA,2003-12-02,2016-11-01,19,6.78,Pierrot 
Hajime no Ippo: Rising,46,2003-08-02,2016-01-16,14,1.67,Mushi Production
Kara no Kyoukai 5: Mujun Rasen,26,2006-05-27,2016-02-26,4,8.67,Studio Nue
Natsume Yuujinchou San,8,1999-03-06,2016-02-27,25,2.84,Studio Ghibli
Ping Pong The Animation,Movie,2011-10-25,2016-06-22,12,5.7,Pierrot 
Mushishi Special: Hihamukage,47,2016-03-19,2021-08-12,10,8.53,Studio Hibari
Boku dake ga Inai Machi,9,2015-11-12,2019-12-13,12,2.89,Studio Live
Yojouhan Shinwa Taikei,9,1997-06-04,2016-10-09,29,1.07,Kyoto Animation 
Aria The Origination,42,2006-11-19,2016-09-18,24,5.3,Studio Nue
Kamisama Hajimemashita: Kako-hen,0,1996-04-17,2016-11-02,4,2.89,Studio Hibari
Rainbow: Nisha Rokubou no Shichinin,TV,2013-12-07,2016-12-21,12,1.86,Studio Nue
Re:Zero kara Hajimeru Isekai Seikatsu,Movie,1997-10-28,2016-06-17,16,2.97,Studio Gokumi
Tengen Toppa Gurren Lagann Movie: Lagann-hen,OVA,1996-03-17,2016-12-17,24,5.55,Mushi Production
Zoku Natsume Yuujinchou,Movie,2015-06-14,2019-09-07,3,6.58,Mushi Production
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,OVA,2015-12-16,2016-06-02,12,3.85,Mushi Production
Kuroko no Basket 3rd Season,Movie,1999-08-10,2016-05-02,8,8.47,Mushi Production
Steins Gate Movie: Fuka Ryouiki no Déjà vu,25,2009-01-21,2016-02-11,7,2.45,Studio Gokumi
Hotarubi no Mori e,Movie,2005-04-28,2016-03-23,25,7.66,Nippon Animation
Shokugeki no Souma,28,2013-04-25,2016-07-13,20,6.51,Studio Nue
Yuri!!! on Ice,38,2006-06-13,2016-12-11,29,8.63,Studio Nue
Gintama: Yorinuki Gintama-san on Theater 2D,2,2008-04-23,2016-03-28,11,7.26,Studio Live
JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,OVA,2000-08-08,2016-06-04,14,4.46,P.A.Works
Gintama Movie: Shinyaku Benizakura-hen,TV,2003-12-21,2016-01-05,19,1.19,Studio Ghibli
Hellsing Ultimate,25,2010-03-26,2016-02-10,1,8.1,Anime International Company Inc.
Kiseijuu: Sei no Kakuritsu,34,2016-06-01,2019-03-02,8,9.55,Magic Bus
Shouwa Genroku Rakugo Shinjuu,OVA,2003-02-01,2016-12-07,5,7.35,Nippon Animation
Uchuu Kyoudai,1,2013-11-18,2016-12-13,29,3.45,Kyoto Animation 
Bakemono no Ko,0,2012-02-24,2016-04-09,11,9.81,P.A.Works
Hotaru no Haka,OVA,2001-12-14,2016-07-22,8,2.64,Studio Gokumi
Kuroko no Basket 2nd Season,8,2011-02-25,2016-07-19,1,8.18,Magic Bus
Major S5,25,2016-08-27,2021-06-06,20,5.87,Imagin 
One Piece,1,1996-07-26,2016-12-06,5,6.1,Studio Gokumi
Ghost in the Shell: Stand Alone Complex 2nd GIG,OVA,2010-03-28,2016-08-10,1,3.64,Anime International Company Inc.
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,32,2003-11-23,2016-10-08,7,3.13,Imagin 
Kara no Kyoukai 7: Satsujin Kousatsu (Kou),TV,2014-03-24,2016-07-24,6,0.5,Studio Ghibli
Kingdom 2nd Season,13,2010-10-10,2016-12-05,22,9.8,Mushi Production
Slam Dunk,0,2012-08-20,2016-07-27,16,2.47,Magic Bus
Usagi Drop,OVA,2010-09-19,2016-12-14,11,3.88,Studio Hibari
Girls und Panzer der Film,18,2000-07-28,2016-04-26,2,3.42,Studio Ghibli
Mob Psycho 100,43,2012-09-28,2016-08-12,22,3.34,Kyoto Animation 
Nana,TV,2005-10-17,2016-12-15,18,7.38,Mushi Production
Baccano!,19,2001-04-24,2016-01-07,24,0.66,GoHands
Mushishi Zoku Shou: Odoro no Michi,Movie,2009-08-14,2016-02-27,22,8.99,Anime International Company Inc.
Shingeki no Kyojin,13,2006-11-18,2016-10-26,14,5.26,Mushi Production
Bakuman. 2nd Season,7,2003-01-08,2016-04-18,25,9.95,Magic Bus
Cross Game,TV,2010-03-05,2016-11-13,25,7.94,Studio Hibari
Doukyuusei (Movie),27,2015-07-02,2019-10-16,27,1.99,Studio Nue
Evangelion: 2.0 You Can (Not) Advance,11,1996-04-05,2016-01-03,6,0.12,Studio Nue
Shinsekai yori,OVA,2008-03-12,2016-09-24,11,2.89,P.A.Works
Uchuu Senkan Yamato 2199,OVA,1997-09-20,2016-07-19,8,2.49,Anime International Company Inc.
Chihayafuru 2,TV,2000-06-21,2016-03-24,21,0.4,Nippon Animation
Fate/Zero,9,1998-12-01,2016-08-25,7,9.61,Studio Nue
JoJo no Kimyou na Bouken (TV),3,1998-10-19,2016-05-27,19,9.17,Anime International Company Inc.
Mahou Shoujo Madoka★Magica,26,1998-11-20,2016-06-27,3,3.02,Nippon Animation
Nichijou,TV,2014-03-13,2016-04-22,22,6.96,Studio Nue
Psycho-Pass,44,2004-05-02,2016-11-26,15,4.82,Studio Live
Barakamon,OVA,2005-03-26,2016-09-01,19,2.81,Studio Nue
Diamond no Ace: Second Season,OVA,2000-03-06,2016-12-26,8,1.34,GoHands
Magi: The Kingdom of Magic,Movie,2010-08-07,2016-07-19,6,4.98,Studio Nue
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,29,1998-08-13,2016-04-28,27,1.87,Imagin 
Major: World Series,24,2016-06-01,2020-08-14,4,1.95,Anime International Company Inc.
Samurai Champloo,5,2007-06-03,2016-09-23,29,3.79,Anime International Company Inc.
Shokugeki no Souma: Ni no Sara,17,2009-10-01,2016-10-12,27,8.55,P.A.Works
Katanagatari,Movie,2015-09-28,2019-01-07,6,2.3,GoHands
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,5,2012-09-16,2016-01-21,15,2.38,Imagin 
Major S6,41,2014-08-14,2016-08-02,23,1.39,Nippon Animation
Mononoke,37,2014-01-03,2019-09-09,25,7.11,Studio Live
Shirobako,17,2015-07-18,2018-08-20,10,3.11,Kyoto Animation 
Ashita no Joe 2,21,2001-06-24,2016-03-17,19,4.53,P.A.Works
Hunter x Hunter,TV,2007-08-01,2016-11-28,19,5.14,GoHands
Noragami Aragoto,7,2001-01-23,2016-11-23,16,5.48,Imagin 
Sakamichi no Apollon,TV,2012-04-27,2016-12-24,18,0.64,Studio Ghibli
Tonari no Totoro,TV,1997-10-02,2016-02-22,21,2.46,P.A.Works
Ghost in the Shell: Stand Alone Complex,22,2003-08-20,2016-03-01,5,4.86,Pierrot 
Kaze no Tani no Nausicaä,8,2012-03-11,2016-10-17,12,4.28,Pierrot 
No Game No Life,TV,2009-10-02,2016-08-04,22,8.26,Studio Nue
Romeo no Aoi Sora,35,2007-01-13,2016-08-03,25,2.21,Anime International Company Inc.
Yuu☆Yuu☆Hakusho,Movie,2001-06-14,2016-07-03,27,8.74,Nippon Animation
Kino no Tabi: The Beautiful World,31,2011-11-17,2016-03-12,15,1.88,Studio Hibari
Kuroko no Basket,29,2010-07-21,2016-07-12,6,9.27,Anime International Company Inc.
Nodame Cantabile,2,2005-01-28,2016-10-19,13,3.06,P.A.Works
Ookami to Koushinryou II,Movie,1998-01-12,2016-08-19,12,1.58,P.A.Works
Shingeki no Kyojin: Kuinaki Sentaku,OVA,1999-11-13,2016-11-28,27,0.98,Kyoto Animation 
Steins Gate: Oukoubakko no Poriomania,26,2008-07-09,2016-02-02,15,2.43,Nippon Animation
Fate/stay night: Unlimited Blade Works 2nd Season,Movie,2009-03-04,2016-07-21,10,2.48,Kyoto Animation 
Kemono no Souja Erin,38,2014-11-19,2016-06-01,12,5.72,Nippon Animation
Kizumonogatari I: Tekketsu-hen,14,2005-10-20,2016-02-07,4,1.47,Mushi Production
Neon Genesis Evangelion: The End of Evangelion,TV,2016-06-21,2020-10-08,17,0.9,Nippon Animation
Toradora!,TV,2013-09-09,2017-12-03,10,9.69,Studio Ghibli
Toki wo Kakeru Shoujo,OVA,2012-10-19,2016-05-11,28,9.31,Kyoto Animation 
Tsubasa: Tokyo Revelations,35,1996-02-14,2016-02-23,7,3.52,Imagin 
Owarimonogatari,TV,2009-04-23,2016-07-10,7,5.53,P.A.Works
Rurouni Kenshin: Meiji Kenkaku Romantan,Movie,2013-09-04,2016-06-06,7,6.08,Studio Live
Stranger: Mukou Hadan,31,2002-08-26,2016-09-17,6,0.53,Magic Bus
Detective Conan Movie 06: The Phantom of Baker Street,39,2004-09-06,2016-05-28,2,1.95,Mushi Production
Fate/stay night: Unlimited Blade Works,Movie,2015-03-07,2016-09-02,16,2.6,Studio Ghibli
Major S1,OVA,1999-04-15,2016-07-23,16,7.82,Studio Hibari
Mobile Suit Gundam: The Origin,OVA,2009-05-19,2016-11-24,11,8.11,Studio Ghibli
Nanatsu no Taizai,12,2008-07-10,2016-11-22,26,8.76,Studio Ghibli
Natsume Yuujinchou,38,2011-08-27,2016-04-07,3,2.64,Pierrot 
One Piece Film: Strong World,Movie,2001-09-25,2016-01-16,13,1.83,Mushi Production
Higurashi no Naku Koro ni Kai,16,2007-07-13,2016-12-14,21,4.27,Kyoto Animation 
Hunter x Hunter OVA,19,2008-12-28,2016-11-10,7,0.05,Nippon Animation
Hunter x Hunter: Greed Island Final,TV,2012-06-18,2016-01-16,6,6.77,Studio Ghibli
Kuroshitsuji: Book of Murder,10,2001-04-21,2016-01-14,15,5.59,Studio Live
Major S2,24,2016-07-23,2016-11-26,5,1.25,Studio Live
One Outs,46,2011-11-27,2016-11-15,28,3.94,Imagin 
Beck,TV,1996-02-05,2016-10-24,1,4.49,Studio Live
Berserk,31,2010-04-20,2016-10-11,21,8.36,Mushi Production
Cowboy Bebop: Tengoku no Tobira,TV,2011-10-25,2016-07-20,26,3.03,Nippon Animation
Major S3,44,2011-07-11,2016-12-25,11,3.22,GoHands
Mobile Suit Gundam Unicorn,12,2015-07-03,2018-10-26,9,7.65,Imagin 
Natsume Yuujinchou: Itsuka Yuki no Hi ni,7,1997-06-03,2016-12-22,8,6.37,Kyoto Animation 
NHK ni Youkoso!,17,2001-09-02,2016-07-04,21,9.1,Magic Bus
Rose of Versailles,41,2005-02-04,2016-09-13,1,2.08,Studio Gokumi
Sakurasou no Pet na Kanojo,17,2007-04-08,2016-12-10,9,3.56,Studio Ghibli
Angel Beats!,16,2012-05-08,2016-02-17,12,3.92,Kyoto Animation 
Bakemonogatari,41,2009-03-02,2016-09-27,12,5.96,Anime International Company Inc.
Bungou Stray Dogs 2nd Season,10,2012-05-02,2016-03-07,20,3.42,Nippon Animation
Hajime no Ippo: Champion Road,35,1999-11-14,2016-05-18,3,2.33,Studio Hibari
One Piece Film: Z,29,2000-06-21,2016-07-04,7,2.93,Studio Live
Ouran Koukou Host Club,39,1997-07-04,2016-07-16,28,6.17,GoHands
Detective Conan Movie 13: The Raven Chaser,OVA,2016-05-01,2017-02-18,29,6.57,Kyoto Animation 
Durarara!!,OVA,2012-10-01,2016-02-24,4,2.58,P.A.Works
Nodame Cantabile Finale,39,2006-01-22,2016-12-15,24,5.08,Studio Live
Planetes,6,2004-02-18,2016-08-04,23,0.62,Imagin 
Shelter,20,2002-11-23,2016-06-12,15,4.16,Nippon Animation
Tenkuu no Shiro Laputa,OVA,2001-11-23,2016-10-17,28,2.8,Kyoto Animation 
Gintama: Shiroyasha Koutan,3,2003-01-08,2016-05-16,2,9.7,Studio Hibari
Hachimitsu to Clover II,42,1997-05-13,2016-01-24,6,5.68,Magic Bus
InuYasha: Kanketsu-hen,17,2014-12-10,2016-08-26,15,3.49,Pierrot 
Kaguya-hime no Monogatari,Movie,2003-08-10,2016-04-18,13,6.96,Magic Bus
Katekyo Hitman Reborn!,18,2001-11-14,2016-09-04,10,8.18,Imagin 
Kuroshitsuji: Book of Circus,TV,1999-11-11,2016-01-02,2,7.75,Anime International Company Inc.
Ookami to Koushinryou,20,2009-10-27,2016-05-03,22,6.56,Anime International Company Inc.
Boku no Hero Academia,Movie,2004-05-25,2016-02-01,22,2.9,Studio Ghibli
Gin no Saji 2nd Season,3,2006-09-24,2016-01-16,4,4.94,Kyoto Animation 
Little Busters!: Refrain,OVA,2003-10-21,2016-02-22,18,9.69,Anime International Company Inc.
Major: Message,23,1997-03-18,2016-06-16,12,9.29,Studio Nue
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,45,1998-02-12,2016-08-06,8,9.41,Studio Nue
SKET Dance,Movie,2001-12-24,2016-08-20,18,6.8,Studio Live
Bakuman.,10,2003-08-05,2016-01-18,4,9.17,Studio Nue
Danshi Koukousei no Nichijou,TV,2003-04-25,2016-03-02,7,9.58,Pierrot 
Kotonoha no Niwa,24,2006-08-11,2016-05-23,23,5.04,Studio Ghibli
Kyoukai no Kanata Movie: I ll Be Here - Mirai-hen,TV,2007-06-13,2016-03-12,25,7.59,Kyoto Animation 
Major S4,Movie,2009-11-02,2016-09-02,11,5.07,Imagin 
Omoide no Marnie,OVA,2014-07-25,2016-05-28,2,9.25,GoHands
Working!!!: Lord of the Takanashi,Movie,2002-06-27,2016-07-20,8,8.91,Studio Nue
Ghost in the Shell,TV,2009-01-26,2016-07-21,21,6.07,Studio Live
K-On! Movie,20,2008-02-16,2016-03-08,17,0.99,Kyoto Animation 
Kuroko no Basket: Saikou no Present Desu,27,2015-04-15,2019-07-08,17,7.3,Magic Bus
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A s,OVA,2001-03-01,2016-12-13,21,7.82,Anime International Company Inc.
Sennen Joyuu,TV,2015-01-25,2017-11-10,23,1.58,P.A.Works
Steins Gate: Kyoukaimenjou no Missing Link - Divide By Zero,0,2009-07-04,2016-04-16,21,8.49,GoHands
xxxHOLiC Kei,25,2013-11-04,2016-06-21,19,1.87,Imagin 
Berserk: Ougon Jidai-hen III - Kourin,Movie,2005-05-28,2016-04-01,10,1.97,GoHands
Death Parade,TV,2004-12-16,2016-07-15,14,3.42,P.A.Works
Fullmetal Alchemist,OVA,1998-09-18,2016-01-18,17,3.78,Magic Bus
Gyakkyou Burai Kaiji: Ultimate Survivor,OVA,2016-10-08,2021-01-18,3,2.79,Studio Live
Hunter x Hunter: Greed Island,8,2012-07-18,2017-03-07,14,2.52,Nippon Animation
Redline,13,2015-06-15,2019-03-10,15,3.47,Magic Bus
Chihayafuru,Movie,2010-06-10,2016-08-17,15,3.91,Mushi Production
Detective Conan Movie 20: The Darkest Nightmare,43,2008-02-02,2016-08-22,9,6.79,Nippon Animation
Dragon Ball Z,46,2008-10-12,2016-10-18,19,6.38,Kyoto Animation 
Fate/stay night: Unlimited Blade Works - Prologue,38,2001-07-15,2016-07-21,15,9.42,Studio Nue
Kokoro ga Sakebitagatterunda.,22,2005-01-18,2016-12-25,8,3.29,P.A.Works
Mimi wo Sumaseba,34,2016-09-22,2018-09-10,19,1.38,GoHands
Nagi no Asukara,Movie,2011-07-05,2016-10-06,26,8.8,Anime International Company Inc.
Neon Genesis Evangelion,27,2012-08-14,2017-09-26,27,7.3,Magic Bus
One Piece Film: Gold,TV,2007-07-12,2016-12-18,28,7.2,Nippon Animation
Tokyo Godfathers,OVA,2015-10-07,2020-08-26,7,2.35,Studio Gokumi
Trigun,Movie,2015-08-23,2016-05-07,15,2.92,Nippon Animation
xxxHOLiC Rou,12,2001-05-21,2016-02-17,21,0.95,Studio Hibari
Gintama: Shinyaku Benizakura-hen,OVA,1997-02-23,2016-11-12,14,7.03,Mushi Production
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,5,1999-02-28,2016-11-23,10,7.13,Anime International Company Inc.
Sekaiichi Hatsukoi 2,29,2008-10-14,2016-09-23,30,3.42,Mushi Production
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,17,2015-08-28,2016-01-07,3,7.99,Mushi Production
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,TV,2010-09-23,2016-07-21,6,2.87,Mushi Production
Aria The Natural,2,2007-12-26,2016-03-08,25,5.86,Studio Gokumi
Black Lagoon: The Second Barrage,Movie,2002-11-06,2016-04-23,30,4.57,Studio Gokumi
Clannad,21,1996-09-18,2016-07-06,12,9.5,Mushi Production
Kami nomi zo Shiru Sekai: Megami-hen,24,2010-03-06,2016-07-23,25,7.65,Studio Hibari
Summer Wars,9,1997-08-12,2016-12-27,13,5.02,Studio Ghibli
Baccano! Specials,TV,1998-10-21,2016-10-02,17,9.02,Studio Hibari
Detective Conan Movie 14: The Lost Ship in the Sky,33,2015-05-23,2019-01-04,3,7.62,GoHands
Gyakkyou Burai Kaiji: Hakairoku-hen,1,1999-08-28,2016-08-19,15,6.48,Studio Live
Initial D Final Stage,OVA,2000-04-25,2016-05-23,13,8.93,Studio Hibari
Kaiba,TV,2004-04-11,2016-03-24,27,2.3,Studio Nue
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,Movie,2002-09-11,2016-04-19,2,2.95,Studio Nue
Saiki Kusuo no Ψ-nan (TV),OVA,2006-01-04,2016-12-01,18,7.16,Nippon Animation
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,5,2000-08-19,2016-06-10,30,5.08,Pierrot 
Hajime no Ippo: Mashiba vs. Kimura,TV,2009-04-21,2016-05-03,4,3.42,Anime International Company Inc.
Kamisama Hajimemashita◎,OVA,2009-09-18,2016-03-26,11,3.71,GoHands
Skip Beat!,10,2001-05-22,2016-06-07,17,0.95,Kyoto Animation 
Yowamushi Pedal: Grande Road,TV,2001-11-06,2016-02-17,20,1.99,Studio Ghibli
Gankutsuou,OVA,1997-03-17,2016-05-26,29,7.02,Mushi Production
Majo no Takkyuubin,TV,2007-08-22,2016-09-12,17,0.01,Studio Ghibli
Nodame Cantabile: Paris-hen,44,2015-08-03,2019-09-15,30,0.51,Studio Hibari
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,5,2006-05-02,2016-08-28,23,0.18,Magic Bus
Osomatsu-san,TV,2006-03-03,2016-01-12,29,4.01,Studio Nue
Space☆Dandy 2nd Season,39,2004-06-06,2016-05-06,10,9.07,Anime International Company Inc.
Tsumiki no Ie,Movie,2008-12-25,2016-10-26,9,0.2,Studio Ghibli
Detroit Metal City,TV,2010-12-01,2016-06-07,2,5.6,Pierrot 
Eve no Jikan,17,2002-06-19,2016-09-09,30,5.55,Anime International Company Inc.
Eve no Jikan (Movie),Movie,2003-08-23,2016-06-07,17,9.85,Pierrot 
Kaichou wa Maid-sama!,43,2003-09-24,2016-10-22,25,6.52,Anime International Company Inc.
Saint Seiya: Meiou Hades Juuni Kyuu-hen,13,2015-04-08,2016-11-20,3,8.04,Pierrot 
Zankyou no Terror,38,2002-08-23,2016-07-06,26,0.76,Studio Gokumi
Darker than Black: Kuro no Keiyakusha,TV,2005-11-02,2016-09-15,19,1.56,Anime International Company Inc.
Detective Conan,OVA,1997-01-22,2016-07-09,8,8.85,Studio Nue
Detective Conan Movie 05: Countdown to Heaven,Movie,2012-12-04,2016-11-26,15,5.17,Magic Bus
Diamond no Ace,10,2000-05-24,2016-09-24,18,6.88,P.A.Works
Fairy Tail (2014),OVA,2012-07-10,2016-07-08,2,4.99,P.A.Works
Hibike! Euphonium 2,TV,1999-05-26,2016-10-24,25,9.63,Studio Nue
JoJo no Kimyou na Bouken: Stardust Crusaders,38,2001-09-11,2016-03-23,5,8.04,Studio Live
Maison Ikkoku,11,1998-02-25,2016-04-09,8,6.88,Studio Gokumi
Non Non Biyori Repeat,1,2012-02-02,2016-02-14,18,7.72,Mushi Production
Shijou Saikyou no Deshi Kenichi,14,2004-01-22,2016-11-07,4,1.39,Studio Live
Yuusha-Ou GaoGaiGar Final,39,2004-08-04,2016-10-14,10,2.9,Magic Bus
Gekkan Shoujo Nozaki-kun,26,2004-07-25,2016-07-11,1,9.96,Studio Nue
Initial D Fourth Stage,35,2016-04-03,2018-12-19,20,3.67,Imagin 
Junjou Romantica 2,TV,2009-12-20,2016-10-12,24,8.16,Studio Live
Kaze Tachinu,22,2000-10-10,2016-08-28,16,7.03,Studio Nue
Kingdom,37,2015-02-06,2020-07-10,5,7.68,Studio Hibari
Kuragehime,OVA,1996-07-28,2016-10-19,9,3.04,Imagin 
Magi: The Labyrinth of Magic,45,1996-11-11,2016-07-04,3,2.78,Studio Live
Mobile Suit Gundam 00,OVA,2003-05-15,2016-05-26,2,5.57,Mushi Production
ReLIFE,18,1996-01-06,2016-04-08,19,4.81,P.A.Works
Saint Seiya: The Lost Canvas - Meiou Shinwa,Movie,2001-09-12,2016-10-20,26,9.87,P.A.Works
Seirei no Moribito,2,2010-12-26,2016-03-18,24,8.18,Mushi Production
Akatsuki no Yona,34,1998-08-02,2016-05-28,23,0.55,Nippon Animation
Detective Conan Movie 08: Magician of the Silver Sky,OVA,1996-03-24,2016-05-20,14,2.65,Studio Ghibli
Durarara!!x2 Ketsu,OVA,2006-12-01,2016-06-09,1,9.48,Mushi Production
Free!: Eternal Summer Special,10,2014-03-13,2016-10-14,6,0.73,Anime International Company Inc.
Glass no Kamen (2005),OVA,2013-01-23,2017-08-04,14,8.94,Studio Ghibli
Gosick,TV,1997-09-16,2016-04-26,21,7.52,Kyoto Animation 
Hajime no Ippo: Boxer no Kobushi,2,1999-02-11,2016-08-09,3,7.32,Imagin 
Initial D First Stage,Movie,2006-02-01,2016-12-27,25,2.12,GoHands
Kill la Kill,OVA,2011-07-11,2016-04-11,18,5.97,Mushi Production
Lovely★Complex,Movie,2002-10-24,2016-03-18,12,0.52,Studio Gokumi
Perfect Blue,7,2007-02-15,2016-09-03,23,4.17,GoHands
Princess Tutu,13,2011-12-25,2016-04-11,27,0.33,Magic Bus
Sakasama no Patema,OVA,2004-10-28,2016-08-05,4,0.13,Anime International Company Inc.
Tsubasa: Shunraiki,39,2009-08-16,2016-05-28,4,9.72,Studio Hibari
Ashita no Joe,12,1996-09-22,2016-03-21,8,0.57,Studio Live
Fairy Tail,TV,1996-10-18,2016-11-13,24,5.4,Anime International Company Inc.
Ghost in the Shell: Stand Alone Complex - Solid State Society,32,2001-01-20,2016-04-25,20,8.52,Magic Bus
Magi: Sinbad no Bouken (TV),3,1996-02-05,2016-05-24,10,5.86,Studio Ghibli
Shoujo Kakumei Utena,26,1999-12-05,2016-02-07,24,6.84,Studio Nue
Tengen Toppa Gurren Lagann Movie: Gurren-hen,39,2008-05-18,2016-01-21,2,4.85,Imagin 
Detective Conan Movie 10: Requiem of the Detectives,30,2015-11-26,2019-10-21,23,6.35,Mushi Production
Evangelion: 1.0 You Are (Not) Alone,19,2013-11-06,2017-04-01,13,5.39,Studio Live
Full Metal Panic? Fumoffu,37,2005-01-16,2016-07-22,18,3.76,Kyoto Animation 
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,3,2012-07-23,2017-03-14,4,2.12,Studio Ghibli
Kara no Kyoukai 3: Tsuukaku Zanryuu,OVA,2005-09-28,2016-03-19,8,3.42,Kyoto Animation 
Mobile Suit Gundam 00 Second Season,14,2005-06-20,2016-03-02,16,1.13,Studio Gokumi
Nisemonogatari,43,2009-06-04,2016-04-05,1,3.05,GoHands
Tsukimonogatari,Movie,2014-11-09,2017-11-09,13,0.98,Magic Bus
Ansatsu Kyoushitsu (TV),Movie,1999-05-28,2016-11-01,5,8.87,Studio Live
Aria The Avvenire,4,1998-05-07,2016-06-12,15,0.36,Studio Hibari
Baby Steps 2nd Season,OVA,2001-05-18,2016-12-03,24,1.93,Studio Live
D.Gray-man,Movie,2007-01-21,2016-03-06,17,2.15,Kyoto Animation 
"Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari",38,1997-06-17,2016-10-11,23,9.67,Studio Hibari
Gintama: Jump Festa 2014 Special,TV,2016-11-22,2017-06-08,20,0.7,Anime International Company Inc.
Lupin III: Cagliostro no Shiro,3,1998-03-07,2016-08-11,13,3.75,Anime International Company Inc.
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,OVA,2012-02-27,2016-07-09,25,4.03,Studio Live
